"ITTER107","Territory","TIPO_DATO15","Data type","SEXISTAT1","Gender","ISO","Most relevant country of citizenship","TIME","Select time","Value","Flag Codes","Flags"
"ITE","Centro (I)","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2021","2021",24525,,
"ITE","Centro (I)","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2022","2022",41299,,
"ITE1","Toscana","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2012","2012",4856,,
"ITE1","Toscana","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2013","2013",6688,,
"ITE1","Toscana","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2014","2014",7240,,
"ITE1","Toscana","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2015","2015",13159,,
"ITE1","Toscana","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2016","2016",14383,,
"ITE1","Toscana","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2017","2017",10692,,
"ITE1","Toscana","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2018","2018",9349,,
"ITE1","Toscana","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2019","2019",11139,,
"ITE1","Toscana","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2020","2020",13282,,
"ITE1","Toscana","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2021","2021",9668,,
"ITE1","Toscana","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2022","2022",16527,,
"ITE2","Umbria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2012","2012",1195,,
"ITE2","Umbria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2013","2013",1518,,
"ITE2","Umbria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2014","2014",2265,,
"ITE2","Umbria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2015","2015",3721,,
"ITE2","Umbria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2016","2016",3888,,
"ITE2","Umbria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2017","2017",2560,,
"ITE2","Umbria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2018","2018",1692,,
"ITE2","Umbria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2019","2019",2921,,
"ITE2","Umbria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2020","2020",2614,,
"ITE2","Umbria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2021","2021",2135,,
"ITE2","Umbria","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2022","2022",5532,,
"ITE3","Marche","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2012","2012",3575,,
"ITE3","Marche","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2013","2013",4568,,
"ITE3","Marche","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2014","2014",5029,,
"ITE3","Marche","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2015","2015",7729,,
"ITE3","Marche","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2016","2016",8404,,
"ITE3","Marche","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2017","2017",5605,,
"ITE3","Marche","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2018","2018",3580,,
"ITE3","Marche","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2019","2019",4218,,
"ITE3","Marche","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2020","2020",6335,,
"ITE3","Marche","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2021","2021",3879,,
"ITE3","Marche","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2022","2022",6476,,
"ITE4","Lazio","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2012","2012",4569,,
"ITE4","Lazio","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2013","2013",6845,,
"ITE4","Lazio","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2014","2014",8777,,
"ITE4","Lazio","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2015","2015",11289,,
"ITE4","Lazio","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2016","2016",11856,,
"ITE4","Lazio","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2017","2017",9218,,
"ITE4","Lazio","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2018","2018",6943,,
"ITE4","Lazio","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2019","2019",9258,,
"ITE4","Lazio","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2020","2020",6071,,
"ITE4","Lazio","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2021","2021",8843,,
"ITE4","Lazio","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2022","2022",12764,,
"ITF","Sud","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2012","2012",4733,,
"ITF","Sud","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2013","2013",5048,,
"ITF","Sud","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2014","2014",6990,,
"ITF","Sud","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2015","2015",9793,,
"ITF","Sud","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2016","2016",11158,,
"ITF","Sud","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2017","2017",9169,,
"ITF","Sud","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2018","2018",9470,,
"ITF","Sud","ACQCITIZ","foreigners who acquired Italian citizenship","9","total","WORLD","All countries of the world","2019","2019",12334,,
